"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Van Ness","Single Family Home",11,1104,0.18,0.99,0.51,1929240,1962,23.7
"Columbia Heights","Single Family Home",20,1212,0.34,0.43,0.28,1004441,1990,15.8
"Woodley Park","Single Family Home",13,1479,0.8,0.79,0.33,1986018,1991,19.1
"Logan Circle","Single Family Home",31,1080,0.46,0.97,0.49,869509,1961,20
"Kingman Park","Townhouse",36,972,0.7,0.39,0.69,913848,1991,21.9
"Petworth","Single Family Home",15,876,0.56,0.1,0.39,1991013,1995,14.8
"Logan Circle","Condominium",39,1397,0.14,0.8,0.9,1713097,1952,9.7
"Petworth","Single Family Home",9,1574,0.62,0.96,0.32,1677976,1972,18.6
"Southwest Waterfront","Single Family Home",32,1196,0.65,0.51,0.48,906101,2015,10.3
"Logan Circle","Townhouse",16,1362,0.65,0.53,0.47,823825,2003,7
"Columbia Heights","Townhouse",25,1370,0.47,0.62,0.33,1696698,1952,19.1
"Columbia Heights","Condominium",11,1243,0.33,0.74,0.68,761492,1960,8
"Foggy Bottom","Townhouse",16,1115,0.49,0.28,0.38,1803252,1958,9.3
"Petworth","Single Family Home",35,1522,0.8,0.16,0.4,1544024,1983,11
"Columbia Heights","Single Family Home",35,1203,0.48,0.85,0.48,1975836,1992,23.3
"Kingman Park","Single Family Home",40,1245,0.18,0.94,0.33,1052505,1973,23.8
"Logan Circle","Condominium",18,1454,0.54,0.86,0.99,1286854,1992,21.8
"Adams Morgan","Single Family Home",40,1074,0.12,0.49,0.22,852125,2016,21.5
"Adams Morgan","Townhouse",40,1432,0.74,0.97,0.66,808971,2004,17.9
"Adams Morgan","Condominium",6,1041,0.23,0.49,0.36,1439747,1980,18.8
"Dupont Circle","Condominium",23,1193,0.41,0.23,0.12,952027,1995,12
"Georgetown","Condominium",21,1173,0.4,0.37,0.87,1197399,1953,15.5
"Foggy Bottom","Condominium",34,929,0.77,0.49,0.95,899955,1989,6.9
"Anacostia","Single Family Home",25,1345,0.47,0.38,0.69,726641,1950,12.7
"U Street Corridor","Condominium",32,843,0.78,0.64,0.59,1538376,2000,14.6
"Georgetown","Townhouse",37,1163,0.43,0.75,0.99,1097965,2013,20.1
"Logan Circle","Condominium",30,1425,0.74,0.54,0.12,1792879,1965,12.3
"Trinidad","Townhouse",20,1235,0.4,0.34,0.75,949419,2001,19.6
"Dupont Circle","Townhouse",21,1011,0.81,0.67,0.42,598652,1974,7.5
"Woodley Park","Townhouse",14,1534,0.83,0.29,0.89,1910420,2009,22.8
"Georgetown","Townhouse",12,951,0.3,0.58,0.61,1359814,2007,5.7
"Logan Circle","Townhouse",18,1379,0.31,0.69,0.73,1592602,2000,8.1
"Logan Circle","Single Family Home",4,1294,0.38,0.61,0.52,801147,1976,17.7
"Dupont Circle","Townhouse",22,853,0.32,0.39,0.54,1379286,1962,7.8
"Petworth","Condominium",27,937,0.71,0.41,0.97,1457593,1965,22.3
"Anacostia","Single Family Home",33,938,0.34,0.78,0.3,1439882,2006,21.6
"Kingman Park","Townhouse",28,1473,0.24,0.85,0.71,577986,2009,17.1
"Trinidad","Townhouse",10,1408,0.3,0.42,0.14,1053530,2016,15.7
"Trinidad","Single Family Home",17,1205,0.7,0.25,0.19,1400576,1986,14.3
"Columbia Heights","Townhouse",31,1115,0.89,0.29,0.98,1117480,1972,23.8
"Petworth","Townhouse",24,1400,0.45,0.48,0.76,1425075,1973,24.8
"Columbia Heights","Single Family Home",20,1382,0.37,0.4,0.36,679186,1964,22.6
"Van Ness","Townhouse",20,1014,0.11,0.2,1,1280225,2002,20.5
"Foggy Bottom","Townhouse",6,1138,0.57,0.39,0.21,743896,2018,20.1
"Foggy Bottom","Single Family Home",36,1344,0.48,0.17,0.27,1305887,2001,9.8
"U Street Corridor","Townhouse",35,1040,0.77,0.77,0.25,1469848,2012,15.6
"Petworth","Townhouse",35,921,0.5,0.81,0.62,816594,1983,12.3
"Adams Morgan","Condominium",5,1548,0.11,0.2,0.84,707373,1962,6
"Shaw","Condominium",12,1217,0.57,0.93,0.37,1285932,1968,6.2
"Brookland","Single Family Home",14,1077,0.16,0.92,0.68,978427,1981,24
"Adams Morgan","Single Family Home",20,1084,0.35,0.16,0.52,532831,1955,20.5
"Woodley Park","Condominium",25,1231,0.18,0.26,0.21,1519982,2006,11.4
"Mount Pleasant","Single Family Home",21,1371,0.16,0.42,0.97,1032576,2000,23.3
"Anacostia","Single Family Home",14,1230,0.61,0.23,0.45,1271059,1968,13.7
"Anacostia","Townhouse",39,1158,0.67,0.26,0.68,1076006,1979,6.4
"Logan Circle","Single Family Home",20,1260,0.29,0.35,0.94,1640366,2010,6.8
"Southwest Waterfront","Condominium",38,1494,0.56,0.97,0.48,902248,2017,21.2
"Dupont Circle","Condominium",7,944,0.62,0.34,0.86,1886935,1998,11
"Kingman Park","Single Family Home",32,1071,0.6,0.86,0.23,515164,2013,8.6
"Adams Morgan","Single Family Home",24,1507,0.77,0.76,0.47,653508,1990,20.6
"U Street Corridor","Single Family Home",12,1123,0.35,0.61,0.44,1623012,2010,13.5
"Capitol Hill","Single Family Home",32,1223,0.11,0.92,0.72,1565012,1960,21.7
"Georgetown","Condominium",15,1177,0.48,0.51,0.15,1179702,1989,12.7
"Petworth","Single Family Home",5,1173,0.39,0.98,0.3,996535,2019,16.6
"Kingman Park","Townhouse",24,1342,0.26,0.91,0.64,611060,1999,13.6
"Shaw","Single Family Home",16,1329,0.23,0.56,0.3,762016,1980,17.8
"Van Ness","Single Family Home",24,1193,0.65,0.36,0.27,1647561,2009,10.6
"Capitol Hill","Condominium",11,1272,0.84,0.3,0.81,1315592,1976,15.9
"Capitol Hill","Condominium",22,963,0.11,0.72,0.56,NA,2018,23.1
"U Street Corridor","Condominium",9,1270,0.59,0.1,0.8,NA,2004,14.7
"Dupont Circle","Townhouse",29,899,0.2,0.94,0.53,NA,1974,20.1
"Shaw","Condominium",38,956,0.75,0.52,0.36,1564537,2005,15.1
"Southwest Waterfront","Condominium",25,1327,0.64,0.16,0.26,1026851,1999,11.1
"Congress Heights","Condominium",36,1202,0.22,0.3,0.28,1671641,1987,24.7
"Logan Circle","Townhouse",7,1079,0.13,0.56,0.68,1012546,1965,9
"Trinidad","Single Family Home",8,1139,0.17,0.66,0.53,1933802,1972,15.3
"Deanwood","Single Family Home",21,1153,0.31,0.12,0.97,672476,1999,8
"Trinidad","Townhouse",21,1154,0.5,0.59,0.32,NA,1975,22.1
"Logan Circle","Townhouse",29,1238,0.57,0.33,0.34,1126872,2018,12.2
"Southwest Waterfront","Condominium",10,1092,0.41,0.78,0.29,1176915,1983,19.7
"Van Ness","Single Family Home",27,1310,0.17,0.76,0.51,1969556,2004,23.1
"Brookland","Single Family Home",15,1417,0.58,0.87,0.49,1442275,1975,18.3
"Adams Morgan","Condominium",39,1016,0.74,0.54,0.63,825623,1972,19.7
"Kingman Park","Townhouse",16,1238,0.37,0.36,0.29,1167125,1983,12.8
"Adams Morgan","Single Family Home",4,1373,0.74,0.26,0.77,1694761,1970,7.2
"Adams Morgan","Condominium",11,871,0.19,0.87,0.49,1348693,1961,13.3
"Logan Circle","Condominium",31,1250,0.45,0.16,0.14,566451,1958,13
"Georgetown","Townhouse",5,1273,0.44,0.39,0.61,598739,1952,21
"Adams Morgan","Townhouse",34,1191,0.57,0.62,0.13,1438804,1974,11.2
"Petworth","Condominium",7,1444,0.78,0.17,0.9,1036942,1966,12.5
"Capitol Hill","Townhouse",25,1358,0.88,0.14,0.62,1510797,2016,8.8
"Petworth","Townhouse",33,1279,0.28,0.37,0.96,844480,2016,10
"Trinidad","Townhouse",4,1146,0.45,0.24,0.1,1124879,1968,16.9
"Foggy Bottom","Townhouse",22,971,0.13,0.61,0.3,735417,2000,21.4
"Trinidad","Condominium",29,1292,0.81,0.77,0.62,852029,1988,23.2
"Deanwood","Single Family Home",16,909,0.14,0.6,0.23,1835592,1991,5.8
"Adams Morgan","Condominium",10,1734,0.38,0.8,0.21,NA,2016,14.8
"Van Ness","Townhouse",9,1415,0.28,0.18,0.68,1123731,1995,17
"Logan Circle","Condominium",25,1077,0.36,0.87,0.42,1002290,1952,12.8
"Kingman Park","Single Family Home",11,1286,0.52,0.83,0.68,1542641,1960,24.8
"Brookland","Townhouse",14,1546,0.19,0.41,0.33,878391,2013,9.4
"Shaw","Townhouse",20,1180,0.77,0.75,0.55,545579,1990,12.6
"Mount Pleasant","Townhouse",20,943,0.41,0.18,0.2,1813514,1972,20.5
"Van Ness","Condominium",35,1082,0.25,0.34,1,907984,2020,23.8
"Georgetown","Townhouse",6,896,0.53,0.76,0.49,992313,1989,8.9
"Foggy Bottom","Single Family Home",30,NA,0.27,0.21,0.61,576658,1977,14.9
"Deanwood","Condominium",3,1243,0.37,0.66,0.28,1934452,1964,20.3
"Mount Pleasant","Condominium",23,1222,0.5,0.4,0.33,581888,2002,9.9
"Southwest Waterfront","Single Family Home",15,933,0.7,0.94,0.85,616956,1961,15.5
"Van Ness","Townhouse",39,1507,0.38,0.13,0.78,NA,2019,20.4
"Van Ness","Single Family Home",39,1414,0.79,0.36,0.44,1788063,1983,7.8
"Columbia Heights","Condominium",12,1052,0.17,0.28,0.4,1931050,1957,16.3
"Shaw","Townhouse",26,1099,0.21,0.11,0.8,1139459,1972,14.8
"Anacostia","Condominium",34,1226,0.69,0.98,0.58,949970,1975,16
"Adams Morgan","Townhouse",40,1056,0.19,0.27,0.2,1060661,2006,20.3
"Anacostia","Condominium",12,968,0.15,0.44,0.91,NA,2015,12.6
"Logan Circle","Condominium",14,1356,0.75,0.62,0.81,666669,1956,11.3
"Deanwood","Single Family Home",4,1141,0.32,0.25,0.46,598080,2017,13.5
"Capitol Hill","Single Family Home",29,782,0.19,0.65,0.98,606084,1966,9.5
"Adams Morgan","Townhouse",38,1245,0.84,0.22,0.23,1369965,2004,17.8
"Mount Pleasant","Townhouse",29,940,0.76,0.92,0.56,883890,1969,8
"U Street Corridor","Condominium",22,1372,0.66,0.1,0.52,947683,1969,13
"Capitol Hill","Single Family Home",11,1367,0.4,0.59,0.99,693194,2009,22.4
"Kingman Park","Single Family Home",23,1285,0.82,0.96,0.77,1315441,1978,12.8
"U Street Corridor","Single Family Home",32,1287,0.74,0.72,0.11,1772259,1980,14.9
"Congress Heights","Single Family Home",20,1366,0.42,0.82,0.22,996027,1978,20.2
"Dupont Circle","Condominium",15,1261,0.67,0.71,0.34,1266264,1963,6
"Dupont Circle","Townhouse",37,941,0.59,0.53,0.12,638323,1958,15.6
"Southwest Waterfront","Condominium",17,961,0.16,0.68,0.72,1556516,1973,14.5
"Dupont Circle","Condominium",33,1135,0.53,0.67,0.56,1359146,1973,5.5
"Columbia Heights","Single Family Home",3,1404,0.59,0.93,0.56,1985208,2002,25
"Columbia Heights","Townhouse",10,902,0.24,0.16,0.39,1497195,1978,11.5
"Capitol Hill","Single Family Home",23,1445,0.43,0.28,0.38,NA,1981,16
"Anacostia","Townhouse",35,1195,0.37,0.72,0.56,1644762,1964,20.4
"Southwest Waterfront","Single Family Home",38,1539,0.23,0.94,0.41,1681526,1985,9.3
"Capitol Hill","Townhouse",9,1274,0.76,0.74,0.61,1645444,2005,5.6
"Woodley Park","Condominium",39,1359,0.87,0.33,0.41,621692,1978,10
"Deanwood","Townhouse",4,1104,0.43,0.21,0.57,656448,2014,10.1
"Dupont Circle","Single Family Home",36,1318,0.34,0.95,0.42,1054392,1971,19.7
"Capitol Hill","Townhouse",22,1161,0.31,0.97,0.43,1554463,2004,6.8
"Logan Circle","Single Family Home",22,1318,0.86,0.81,0.1,1797492,2003,22.8
"Capitol Hill","Condominium",19,1110,0.16,0.59,0.6,557323,1990,15.1
"Logan Circle","Single Family Home",39,1230,0.21,0.75,0.97,NA,1969,19.2
"Columbia Heights","Condominium",31,1021,0.3,0.52,0.41,740045,1986,20.6
"Brookland","Townhouse",3,1355,0.13,0.89,0.38,1435862,2005,13.9
"Kingman Park","Townhouse",5,1016,0.81,0.54,0.19,NA,2014,22.8
"Van Ness","Townhouse",7,1399,0.15,0.56,0.38,932132,1953,23.2
"Trinidad","Single Family Home",33,1558,0.35,0.27,0.68,1229660,2018,6.2
"Deanwood","Single Family Home",5,1338,0.25,0.22,0.61,932254,2008,13.5
"Georgetown","Single Family Home",19,881,0.57,0.47,0.48,975326,1950,5.3
"Congress Heights","Single Family Home",6,1360,0.33,0.43,0.69,835018,2012,19.1
"Petworth","Townhouse",37,1505,0.19,0.38,0.26,634948,1979,11.6
"Van Ness","Single Family Home",35,1521,0.47,0.35,0.57,1188147,1998,20.6
"Georgetown","Single Family Home",30,886,0.38,0.12,0.9,1979457,2006,14.4
"Congress Heights","Single Family Home",23,1582,0.38,0.38,0.71,1845105,2011,8.6
"Trinidad","Condominium",19,1434,0.6,0.56,0.63,1230947,1989,20.6
"Brookland","Condominium",37,1127,0.59,0.52,0.22,757593,1951,11.5
"Kingman Park","Townhouse",7,1382,0.21,0.34,0.31,1600918,1971,13.4
"Mount Pleasant","Townhouse",28,983,0.82,0.51,0.97,1762377,1965,11.2
"Brookland","Townhouse",17,1163,0.83,0.47,0.37,NA,1955,13.7
"Trinidad","Condominium",25,1121,0.31,0.3,0.68,1938992,2016,21.2
"Georgetown","Townhouse",6,1203,0.72,0.63,0.82,1674144,2007,17
"Brookland","Condominium",20,1281,0.8,0.76,0.62,1190305,1950,24
"Southwest Waterfront","Single Family Home",7,1012,0.88,0.63,0.42,736930,2008,23.5
"Dupont Circle","Townhouse",22,1065,0.16,0.63,0.43,1474511,1967,10.5
"U Street Corridor","Single Family Home",38,1265,0.86,0.39,0.86,1509312,2001,20.4
"Logan Circle","Townhouse",29,982,0.85,0.33,0.24,956992,1960,12.2
"Foggy Bottom","Single Family Home",3,1091,0.18,0.74,0.1,958908,1968,22.5
"Capitol Hill","Single Family Home",38,1313,0.84,0.18,0.71,1054142,1958,22.6
"Georgetown","Condominium",4,1208,0.69,0.62,0.83,823118,1987,24
"Capitol Hill","Single Family Home",13,893,0.2,0.39,0.5,1099949,2019,22
"Congress Heights","Single Family Home",18,1243,0.39,0.33,0.57,821749,1971,17
"Columbia Heights","Townhouse",6,1607,0.43,0.4,0.97,1510075,2003,23.5
"Columbia Heights","Townhouse",9,934,0.32,0.11,0.65,572311,2003,17.8
"Deanwood","Townhouse",13,939,0.75,0.15,0.68,1253600,2010,9.8
"Petworth","Condominium",29,1336,0.9,0.29,0.59,806637,1953,16.2
"Columbia Heights","Single Family Home",3,1159,0.4,0.82,0.97,1147208,1995,5.1
"Foggy Bottom","Condominium",13,1323,0.57,0.94,0.5,1370078,2013,13.6
"Columbia Heights","Condominium",38,937,0.31,0.45,0.25,839860,1950,24
"Brookland","Condominium",31,1439,0.48,0.93,0.35,1681509,1978,6.8
"Columbia Heights","Townhouse",15,1276,0.42,0.43,0.49,989929,2002,16.6
"Capitol Hill","Townhouse",15,1002,0.65,0.56,0.46,1060301,2007,13.6
"Southwest Waterfront","Condominium",7,1128,0.12,0.14,0.19,1427527,1976,15.7
"Foggy Bottom","Townhouse",8,1219,0.47,0.92,0.61,1149267,2013,16
"Logan Circle","Single Family Home",30,1308,0.36,0.48,0.38,1708429,1984,7.2
"Georgetown","Single Family Home",34,1113,0.7,0.24,0.42,1056750,2019,18.4
"Adams Morgan","Single Family Home",9,1112,0.25,0.88,0.48,956483,2014,13.9
"Southwest Waterfront","Condominium",3,1261,0.3,0.19,0.87,988493,1997,17.6
"Petworth","Condominium",10,1171,0.28,0.65,0.87,1145906,2007,5.7
"Dupont Circle","Townhouse",36,1191,0.11,0.8,0.52,NA,1973,18.2
"Anacostia","Single Family Home",35,831,0.78,0.6,0.18,1901593,1982,13.6
"Kingman Park","Single Family Home",33,1273,0.73,0.51,0.32,NA,2019,24.3
"Capitol Hill","Single Family Home",35,1098,0.69,0.6,0.54,676626,1986,14.6
"Petworth","Single Family Home",8,1065,0.45,0.4,0.94,1209648,1950,23.2
"Adams Morgan","Condominium",5,1249,0.79,0.51,0.72,697684,1975,15.8
"Kingman Park","Single Family Home",34,1319,0.25,0.36,0.81,560114,1957,13.1
"Congress Heights","Townhouse",34,1085,0.34,0.44,0.15,1671450,1995,18.4
"Trinidad","Condominium",36,1106,0.65,0.13,0.56,1125917,1995,13.7
"U Street Corridor","Single Family Home",34,1539,0.4,0.82,0.57,998303,2010,25
"Georgetown","Single Family Home",31,1059,0.41,0.88,0.47,1654706,1997,21.3
"Congress Heights","Single Family Home",31,1205,0.12,0.33,0.56,1051429,1950,20.2
"Petworth","Townhouse",24,1005,0.6,0.47,0.29,NA,1997,6.6
"Columbia Heights","Condominium",21,1325,0.53,0.35,0.76,1384597,1960,12.8
"Foggy Bottom","Townhouse",26,1340,0.24,0.97,0.59,NA,1983,24.9
"Congress Heights","Condominium",6,1288,0.76,0.65,0.92,1890373,1988,18.9
"Adams Morgan","Condominium",28,1548,0.41,0.67,0.2,1764603,1954,24.7
"Kingman Park","Townhouse",3,1143,0.27,0.63,0.71,591484,1963,12.9
"Woodley Park","Condominium",16,1193,0.18,0.14,0.23,1460006,1995,15.4
"Capitol Hill","Single Family Home",6,1060,0.6,0.3,0.14,1674330,2006,17.7
"Mount Pleasant","Townhouse",13,1205,0.47,0.88,0.91,641545,2020,19.1
"Congress Heights","Condominium",30,1454,0.45,0.71,0.39,1722614,1954,14.7
"Columbia Heights","Condominium",9,1030,0.27,0.78,0.56,1847402,1990,24.4
"Shaw","Condominium",20,1116,0.4,0.57,0.41,1637226,1956,10
"Dupont Circle","Townhouse",17,1175,0.49,0.67,0.58,1070021,1977,21.8
"Dupont Circle","Single Family Home",39,1144,0.82,0.61,0.15,NA,1970,8.8
"Trinidad","Single Family Home",12,1401,0.59,0.21,0.54,894841,1980,8.1
"Columbia Heights","Single Family Home",30,1394,0.16,0.4,0.88,1697487,1957,23.6
"Trinidad","Condominium",18,1324,0.86,0.57,0.21,1671449,1996,21.1
"Deanwood","Condominium",8,1529,0.21,0.23,0.87,593842,2001,10
"Deanwood","Townhouse",37,1444,0.54,0.71,0.9,1982941,1988,10.4
"Trinidad","Townhouse",10,1142,0.38,0.25,0.26,1371534,2005,19.8
"Brookland","Single Family Home",7,816,0.72,0.57,0.67,685375,2015,19.6
"Woodley Park","Condominium",14,1193,0.75,0.26,0.81,719290,1953,14
"U Street Corridor","Single Family Home",19,1017,0.26,0.55,0.37,1480084,1991,9.7
"Van Ness","Condominium",26,1400,0.85,0.3,0.99,678196,2008,20.5
"Georgetown","Single Family Home",36,1386,0.73,0.81,0.94,840361,1993,24.4
"Mount Pleasant","Townhouse",14,829,0.78,0.23,0.29,1618453,2001,5.4
"Petworth","Townhouse",22,1175,0.34,0.61,0.43,1778512,1967,22.8
"Capitol Hill","Condominium",5,1237,0.41,0.88,0.35,582249,1992,8.7
"Trinidad","Townhouse",21,1398,0.53,0.36,0.95,1211849,1975,18
"Deanwood","Condominium",39,1165,0.74,0.38,0.53,662937,2020,20.3
"Trinidad","Townhouse",22,1262,0.76,0.8,0.88,813289,2011,18.7
"Mount Pleasant","Single Family Home",7,1276,0.43,0.26,0.58,1695891,1963,8.8
"Capitol Hill","Townhouse",38,1454,0.63,0.59,0.9,633466,1955,5.1
"Woodley Park","Single Family Home",17,1060,0.82,0.93,0.72,1337341,2005,6.1
"Woodley Park","Condominium",14,1318,0.79,0.99,0.73,1556808,1959,8.3
"Petworth","Condominium",11,1363,0.19,0.69,0.76,661436,1983,6.8
"Shaw","Condominium",5,1284,0.28,0.59,0.71,NA,1961,13.2
"Capitol Hill","Townhouse",5,1225,0.28,0.2,0.44,1190415,1963,11.8
"Mount Pleasant","Condominium",4,1104,0.12,0.29,0.52,NA,1987,17.8
"Kingman Park","Townhouse",20,787,0.31,0.68,0.77,1485046,2020,10.4
"Kingman Park","Condominium",34,NA,0.59,0.15,0.67,1379673,1960,23.8
"Petworth","Condominium",9,1263,0.2,0.41,0.33,1480003,1976,14.9
"Shaw","Townhouse",15,1367,0.32,0.19,0.17,NA,2006,20.9
"Brookland","Condominium",11,1442,0.58,1,0.85,797939,1956,14.3
"Deanwood","Townhouse",27,1449,0.48,0.47,0.53,NA,1970,8.3
"U Street Corridor","Condominium",11,1131,0.77,0.33,0.15,1213826,2010,14.8
"Van Ness","Single Family Home",9,1519,0.18,0.53,0.6,1432266,1987,5.1
"Congress Heights","Single Family Home",18,979,0.76,0.98,0.61,1080885,1979,9.8
"Capitol Hill","Condominium",11,823,0.78,0.58,0.78,1589274,2005,11.3
"Brookland","Condominium",19,1333,0.53,0.7,0.24,1735755,1998,12.6
"Petworth","Condominium",27,1024,0.65,0.29,0.76,1287092,1971,11
"Dupont Circle","Townhouse",33,1552,0.59,0.17,0.92,1428353,1976,23.7
"Logan Circle","Single Family Home",3,1264,0.63,0.33,0.35,952258,1990,7.1
"Logan Circle","Townhouse",37,1065,0.52,0.6,0.91,1915063,1989,14.5
"Shaw","Condominium",30,1210,0.56,0.65,0.29,1070226,1962,20.2
"Columbia Heights","Townhouse",28,1254,0.1,0.55,0.74,626628,1994,15.5
"Deanwood","Single Family Home",11,1447,0.74,0.4,0.27,679192,1964,6.3
"Columbia Heights","Condominium",38,1077,0.72,0.39,0.21,1601770,1995,22.9
"Adams Morgan","Single Family Home",3,1154,0.8,0.73,0.3,977808,2003,14.9
"Mount Pleasant","Single Family Home",26,1258,0.82,0.65,0.12,1615563,1970,19.8
"Anacostia","Townhouse",4,1390,0.61,0.9,0.45,1613334,1977,16.6
"Anacostia","Condominium",19,1475,0.14,0.44,0.19,846861,1961,20.5
"Van Ness","Townhouse",11,1296,0.67,0.88,0.28,1273865,2016,18.9
"Petworth","Townhouse",10,1487,0.53,0.81,0.1,1490624,1970,21
"Columbia Heights","Townhouse",5,1382,0.1,0.59,0.43,NA,1952,11.6
"Dupont Circle","Townhouse",23,1529,0.2,0.79,0.16,1203344,1989,14.1
"Logan Circle","Condominium",15,1246,0.27,0.34,0.78,1186124,1978,20.6
"Southwest Waterfront","Single Family Home",5,1381,0.12,0.46,0.51,944348,1969,24.7
"Adams Morgan","Condominium",29,979,0.85,0.77,0.67,1056317,2007,14.9
"Foggy Bottom","Townhouse",21,NA,0.49,0.3,0.42,861570,1964,23.2
"Georgetown","Single Family Home",13,NA,0.29,0.32,0.74,1786436,1978,11.8
"Woodley Park","Condominium",23,844,0.49,0.88,0.81,882823,1963,8.7
"Georgetown","Condominium",28,1141,0.43,0.44,0.66,599241,2014,9
"Kingman Park","Townhouse",8,1146,0.48,0.45,0.77,1143805,1996,16.2
"Georgetown","Condominium",15,1206,0.76,0.99,0.17,1024157,1952,23.9
"Deanwood","Condominium",17,1301,0.46,0.99,0.59,942587,2013,17.5
"Dupont Circle","Condominium",5,1523,0.64,0.13,0.85,1201664,1968,8.2
"Anacostia","Townhouse",37,1170,0.59,0.44,0.62,1525367,1983,14.9
"Woodley Park","Condominium",40,920,0.76,0.88,0.93,735170,2005,12.5
"Columbia Heights","Single Family Home",39,1101,0.19,0.79,0.21,NA,1970,20.6
"Shaw","Townhouse",16,1223,0.17,0.43,0.32,1306648,2004,13.1
"Foggy Bottom","Single Family Home",19,1290,0.51,0.37,0.63,NA,1977,17.9
"Southwest Waterfront","Condominium",12,1177,0.53,0.49,0.62,NA,1953,22.9
"Woodley Park","Townhouse",33,1014,0.59,0.82,0.32,1599681,1996,16.2
"Southwest Waterfront","Condominium",28,1090,0.17,0.21,0.96,1959745,1981,15.3
"Kingman Park","Townhouse",26,1225,0.61,0.74,0.33,1922206,1976,7.2
"Congress Heights","Single Family Home",24,1135,0.81,0.6,0.34,1821980,1958,16.3
"Foggy Bottom","Townhouse",8,1352,0.64,0.98,0.14,1236055,2010,8.7
"Brookland","Condominium",8,1023,0.34,0.65,0.41,783098,1959,7.1
"Shaw","Single Family Home",10,1447,0.28,0.55,0.98,716846,2008,11.4
"Adams Morgan","Condominium",4,1057,0.7,0.83,0.35,899321,2013,24.2
"Capitol Hill","Single Family Home",7,1672,0.16,0.52,0.43,1148633,1991,17.5
"Anacostia","Townhouse",36,1389,0.27,0.23,0.38,NA,1966,24.1
"Deanwood","Condominium",34,1265,0.51,0.37,0.41,1735651,1993,7.7
"Columbia Heights","Single Family Home",4,1221,0.29,0.5,0.71,1010817,2016,21.2
"Columbia Heights","Townhouse",11,962,0.84,0.75,0.16,826151,2012,11.6
"Van Ness","Single Family Home",6,999,0.13,0.75,0.6,1044311,2001,24.3
"Trinidad","Single Family Home",14,1307,0.16,0.29,0.9,647358,1992,18.5
"Mount Pleasant","Single Family Home",27,1088,0.25,0.81,0.61,1014057,2000,19.4
"Brookland","Townhouse",5,1389,0.28,0.62,0.55,1856112,2020,14.3
"Logan Circle","Single Family Home",39,1465,0.82,0.14,0.29,1140012,1971,20.6
"Adams Morgan","Townhouse",12,1143,0.86,0.73,0.46,997987,1950,11.6
"Columbia Heights","Townhouse",17,1454,0.79,0.74,0.4,818667,1974,9.9
"Kingman Park","Townhouse",29,1159,0.84,0.89,0.72,955334,2018,18.3
"Petworth","Townhouse",20,1071,0.43,0.78,0.32,959114,2016,16.5
"Deanwood","Condominium",13,1034,0.12,0.59,0.99,1729911,1965,6.5
"Trinidad","Single Family Home",40,1412,0.7,0.88,0.4,621994,1987,13
"Shaw","Single Family Home",5,1449,0.73,0.5,0.63,1733412,2008,12.4
"Van Ness","Townhouse",26,1147,0.85,0.73,0.8,1899047,2020,7.4
"Deanwood","Townhouse",5,1163,0.62,0.97,0.21,516410,2000,20.9
"Congress Heights","Single Family Home",11,1260,0.16,0.57,0.2,972918,1984,20.8
"Petworth","Townhouse",6,1158,0.36,0.62,0.91,1846340,1986,12.8
"Brookland","Single Family Home",32,1115,0.87,0.44,0.11,1363464,1954,16.8
